subject_id,sessions_per_day,avg_amount,night_activity_ratio
u1,5,263.62,0.114
u2,1,223.01,0.098
u3,4,124.24,0.239
u4,3,147.88,0.179
u5,3,244.53,0.155
u6,2,79.96,0.216
u7,4,244.31,0.072
u8,4,276.07,0.147
u9,1,82.57,0.066
u10,6,135.16,0.199
u11,3,215.64,0.159
u12,4,398.82,0.165
u13,3,296.0,0.081
u14,3,130.69,0.216
u15,3,91.84,0.161
u16,6,114.8,0.065
u17,4,146.77,0.177
u18,5,258.88,0.294
u19,2,153.69,0.108
u20,39,5099.04,0.907
u21,3,65.93,0.016
u22,3,294.1,0.038
u23,4,85.91,0.004
u24,3,214.29,0.132
u25,2,387.92,0.076
u26,4,89.93,0.02
u27,4,75.93,0.189
u28,1,103.1,0.243
u29,3,79.81,0.074
u30,5,317.56,0.182
u31,5,128.99,0.157
u32,4,367.98,0.089
u33,5,396.51,0.092
u34,5,71.08,0.288
u35,1,381.66,0.062
u36,2,142.63,0.024
u37,2,110.83,0.023
u38,1,192.98,0.207
u39,4,151.94,0.069
u40,52,6979.03,0.972
u41,1,290.58,0.277
u42,6,256.43,0.241
u43,2,198.8,0.163
u44,6,102.15,0.08
u45,2,74.99,0.05
u46,3,258.27,0.247
u47,3,203.7,0.141
u48,3,294.91,0.283
u49,5,238.99,0.131
u50,5,63.95,0.13
u51,3,261.3,0.008
u52,2,386.67,0.251
u53,5,255.49,0.006
u54,6,337.5,0.173
u55,2,214.68,0.195
u56,3,113.52,0.176
u57,6,334.99,0.291
u58,4,171.79,0.1
u59,6,86.61,0.048
u60,43,9855.72,0.858
u61,4,334.75,0.165
u62,4,80.82,0.076
u63,1,389.56,0.121
u64,5,338.72,0.0
u65,5,211.69,0.016
u66,5,176.62,0.227
u67,6,204.71,0.015
u68,3,242.23,0.278
u69,4,358.3,0.145
u70,1,390.6,0.183
u71,2,298.42,0.093
u72,1,243.29,0.028
u73,1,211.51,0.035
u74,2,224.43,0.215
u75,5,296.89,0.125
u76,4,393.09,0.073
u77,5,100.62,0.057
u78,5,227.88,0.264
u79,1,146.69,0.237
u80,43,7379.13,0.958
u81,3,337.19,0.085
u82,3,343.12,0.174
u83,6,221.37,0.045
u84,5,219.52,0.1
u85,5,182.02,0.28
u86,2,393.27,0.072
u87,4,131.75,0.233
u88,1,161.36,0.142
u89,4,185.13,0.199
u90,6,393.29,0.149
u91,1,94.19,0.29
u92,3,354.4,0.262
u93,4,84.9,0.273
u94,1,302.86,0.123
u95,6,389.48,0.022
u96,3,168.5,0.208
u97,6,78.11,0.099
u98,6,350.77,0.114
u99,3,269.38,0.266
u100,45,11106.68,0.807
u101,1,132.17,0.205
u102,3,399.1,0.224
u103,4,392.42,0.228
u104,6,355.4,0.133
u105,6,154.81,0.009
u106,3,328.65,0.088
u107,3,200.74,0.073
u108,4,248.07,0.238
u109,2,111.27,0.183
u110,4,266.9,0.072
u111,5,100.09,0.138
u112,3,210.85,0.2
u113,4,365.42,0.203
u114,2,75.85,0.284
u115,5,154.7,0.289
u116,6,137.53,0.254
u117,2,399.78,0.256
u118,1,133.02,0.172
u119,5,153.56,0.21
u120,30,11845.61,0.932
u121,3,52.83,0.26
u122,6,390.76,0.273
u123,6,223.85,0.271
u124,3,321.51,0.069
u125,3,126.65,0.057
u126,3,287.22,0.216
u127,6,288.3,0.041
u128,1,366.19,0.194
u129,3,326.01,0.01
u130,3,306.33,0.027
u131,3,164.35,0.125
u132,2,96.26,0.162
u133,3,235.8,0.274
u134,2,139.94,0.247
u135,4,388.58,0.089
u136,3,331.48,0.14
u137,1,99.26,0.29
u138,6,303.48,0.294
u139,5,178.02,0.237
u140,30,6851.21,0.825
u141,3,285.49,0.202
u142,5,183.36,0.192
u143,3,87.92,0.07
u144,1,266.84,0.283
u145,3,370.34,0.066
u146,1,272.39,0.139
u147,6,155.77,0.122
u148,2,65.87,0.011
u149,4,90.64,0.07
u150,5,97.48,0.136
u151,6,382.28,0.209
u152,5,196.69,0.223
u153,2,359.89,0.196
u154,4,265.48,0.282
u155,3,61.45,0.111
u156,4,205.64,0.071
u157,3,84.77,0.206
u158,5,365.59,0.193
u159,1,189.35,0.057
u160,33,11643.08,0.965
u161,1,281.97,0.193
u162,5,389.88,0.015
u163,3,135.25,0.038
u164,5,121.82,0.249
u165,5,122.51,0.065
u166,2,165.0,0.044
u167,5,50.99,0.258
u168,2,395.63,0.162
u169,2,88.47,0.26
u170,2,55.2,0.237
u171,2,256.1,0.005
u172,3,68.34,0.223
u173,5,89.78,0.019
u174,4,322.31,0.154
u175,1,208.2,0.066
u176,5,65.18,0.235
u177,6,232.51,0.137
u178,1,71.29,0.144
u179,4,199.2,0.032
u180,52,11367.91,0.815
u181,1,162.74,0.045
u182,2,146.26,0.19
u183,5,299.25,0.114
u184,5,235.69,0.136
u185,5,200.57,0.238
u186,1,348.48,0.195
u187,5,302.29,0.065
u188,4,360.83,0.124
u189,4,189.56,0.219
u190,3,199.37,0.2
u191,3,383.76,0.206
u192,4,73.5,0.25
u193,1,201.16,0.223
u194,3,334.12,0.167
u195,5,384.82,0.169
u196,6,92.78,0.106
u197,6,379.4,0.127
u198,6,68.01,0.086
u199,3,173.08,0.173
u200,36,6083.11,0.896
