user_id,item_id,weight
u1,item-2,3
u1,item-4,1
u1,item-3,3
u2,item-15,3
u2,item-14,3
u3,item-2,2
u3,item-4,1
u3,item-1,1
u3,item-5,1
u4,item-7,1
u4,item-8,1
u4,item-5,2
u5,item-13,3
u5,item-17,1
u5,item-20,3
u6,item-4,1
u6,item-5,1
u6,item-10,1
u6,item-1,1
u6,item-3,1
u6,item-8,1
u7,item-4,3
u7,item-5,1
u7,item-1,1
u7,item-2,1
u7,item-3,1
u7,item-8,1
u8,item-15,2
u8,item-12,2
u8,item-10,1
u8,item-9,1
u8,item-14,1
u9,item-7,1
u9,item-5,1
u9,item-10,1
u9,item-6,1
u9,item-9,1
u9,item-3,2
u10,item-18,3
u10,item-20,1
u10,item-17,1
u11,item-18,1
u11,item-19,1
u11,item-15,3
u11,item-17,1
u12,item-18,1
u12,item-15,1
u12,item-14,1
u13,item-15,1
u13,item-16,1
u13,item-20,1
u13,item-18,1
u13,item-13,3
u14,item-2,1
u14,item-1,1
u14,item-6,2
u15,item-16,3
u15,item-20,1
u15,item-17,1
u16,item-15,1
u16,item-12,1
u16,item-10,1
u16,item-13,1
u16,item-11,1
u17,item-2,1
u17,item-3,1
u18,item-18,1
u18,item-15,2
u18,item-12,2
u18,item-13,1
u19,item-2,1
u19,item-1,1
u20,item-4,1
u20,item-1,1
u20,item-3,2
u21,item-7,3
u21,item-9,1
u21,item-3,1
u22,item-18,2
u22,item-16,2
u22,item-20,1
u23,item-13,2
u23,item-11,1
u24,item-18,1
u24,item-9,1
u24,item-14,1
u24,item-17,3
u25,item-16,3
u25,item-17,2
u26,item-17,3
u26,item-18,1
u26,item-20,3
u26,item-13,3
u26,item-14,1
u27,item-17,3
u27,item-20,1
u28,item-7,1
u28,item-8,2
u28,item-10,1
u29,item-1,1
u29,item-3,3
u29,item-5,1
u30,item-4,3
u30,item-8,1
u30,item-1,3
u30,item-6,3
u31,item-1,1
u31,item-2,1
u31,item-3,3
u32,item-4,1
u32,item-12,1
u32,item-10,1
u32,item-6,1
u32,item-8,1
u33,item-8,1
u33,item-9,1
u33,item-5,3
u34,item-1,1
u34,item-5,1
u34,item-3,1
u35,item-7,1
u35,item-5,2
u35,item-10,1
u35,item-12,1
u35,item-6,1
u35,item-9,2
u35,item-11,1
u36,item-7,1
u36,item-6,1
u36,item-9,2
u36,item-12,1
u37,item-13,1
u37,item-8,1
u37,item-6,1
u37,item-10,3
u38,item-16,1
u38,item-14,3
u38,item-12,2
u39,item-12,3
u39,item-9,3
u39,item-13,1
u39,item-11,1
u39,item-14,2
u40,item-5,1
u40,item-6,3
u40,item-1,1
u40,item-2,1
u40,item-3,2
u41,item-11,3
u41,item-14,1
u41,item-12,2
u41,item-10,2
u42,item-15,1
u42,item-12,1
u42,item-17,1
u42,item-18,1
u42,item-19,1
u42,item-11,1
u43,item-4,3
u43,item-7,1
u43,item-11,2
u44,item-15,1
u44,item-16,2
u44,item-12,1
u44,item-10,1
u44,item-17,3
u45,item-13,2
u45,item-15,3
u45,item-9,3
u46,item-18,3
u46,item-17,2
u46,item-16,3
u46,item-20,2
u47,item-7,2
u47,item-4,1
u47,item-5,1
u47,item-10,1
u47,item-6,1
u47,item-1,1
u47,item-3,1
u48,item-19,1
u48,item-16,2
u49,item-16,3
u49,item-10,1
u49,item-13,3
u49,item-11,2
u49,item-14,2
u50,item-1,3
u50,item-4,1
u50,item-3,2
u51,item-7,2
u51,item-8,1
u51,item-6,2
u51,item-11,1
u52,item-18,2
u52,item-19,1
u52,item-20,1
u53,item-15,2
u53,item-12,1
u53,item-20,1
u53,item-13,2
u53,item-19,1
u54,item-17,1
u54,item-15,1
u54,item-20,1
u55,item-5,2
u55,item-3,1
u56,item-19,1
u56,item-16,1
u56,item-20,1
u56,item-17,1
u57,item-17,1
u57,item-20,1
u58,item-16,1
u58,item-17,1
u58,item-18,3
u58,item-19,2
u58,item-14,1
u59,item-1,2
u59,item-4,1
u59,item-3,2
u59,item-2,1
u60,item-16,1
u60,item-20,1
u60,item-18,2
u60,item-13,1
u60,item-14,2
